CAMPUS NO,COURSE CODE,COURSE NAME,CRD HRS,STUDY CODE,STUDY DESC,ACTIVITY CODE,ACTIVITY DESC,SECTION,DEPT NO,DEPT NAME,CLASS TIMES
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,30,47,LANGUAGE CENTER,Monday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,31,47,LANGUAGE CENTER,Tuesday
1,10610025,INTERMEDIATE ENGLISH,2,1,Bachelor,1,Lecture,32,47,LANGUAGE CENTER,Wednesday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,5,47,LANGUAGE CENTER,Thursday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,7,47,LANGUAGE CENTER,Friday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,8,47,LANGUAGE CENTER,Saturday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,9,47,LANGUAGE CENTER,Sunday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,10,47,LANGUAGE CENTER,Monday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,11,47,LANGUAGE CENTER,Tuesday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,13,47,LANGUAGE CENTER,Wednesday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,14,47,LANGUAGE CENTER,Thursday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,15,47,LANGUAGE CENTER,Friday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,16,47,LANGUAGE CENTER,Saturday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,17,47,LANGUAGE CENTER,Sunday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,18,47,LANGUAGE CENTER,Monday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,19,47,LANGUAGE CENTER,Tuesday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,20,47,LANGUAGE CENTER,Wednesday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,21,47,LANGUAGE CENTER,Thursday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,22,47,LANGUAGE CENTER,Friday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,23,47,LANGUAGE CENTER,Saturday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,24,47,LANGUAGE CENTER,Sunday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,26,47,LANGUAGE CENTER,Monday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,27,47,LANGUAGE CENTER,Tuesday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,28,47,LANGUAGE CENTER,Wednesday
1,10610026,INTERMEDIATE ENGLISH LAB,1,1,Bachelor,2,Lab,29,47,LANGUAGE CENTER,Thursday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,4,47,LANGUAGE CENTER,Friday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,5,47,LANGUAGE CENTER,Saturday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,6,47,LANGUAGE CENTER,Sunday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,10,47,LANGUAGE CENTER,Monday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,17,47,LANGUAGE CENTER,Tuesday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,20,47,LANGUAGE CENTER,Wednesday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,21,47,LANGUAGE CENTER,Thursday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,22,47,LANGUAGE CENTER,Friday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,23,47,LANGUAGE CENTER,Saturday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,24,47,LANGUAGE CENTER,Sunday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,25,47,LANGUAGE CENTER,Monday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,26,47,LANGUAGE CENTER,Tuesday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,28,47,LANGUAGE CENTER,Wednesday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,29,47,LANGUAGE CENTER,Thursday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,30,47,LANGUAGE CENTER,Friday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,32,47,LANGUAGE CENTER,Saturday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,33,47,LANGUAGE CENTER,Sunday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,34,47,LANGUAGE CENTER,Monday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,35,47,LANGUAGE CENTER,Tuesday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,36,47,LANGUAGE CENTER,Wednesday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,37,47,LANGUAGE CENTER,Thursday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,38,47,LANGUAGE CENTER,Friday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,39,47,LANGUAGE CENTER,Saturday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,40,47,LANGUAGE CENTER,Sunday
1,10610035,ADVANCED ENGLISH,2,1,Bachelor,1,Lecture,41,47,LANGUAGE CENTER,Monday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,6,47,LANGUAGE CENTER,Tuesday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,9,47,LANGUAGE CENTER,Wednesday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,10,47,LANGUAGE CENTER,Thursday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,17,47,LANGUAGE CENTER,Friday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,20,47,LANGUAGE CENTER,Saturday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,21,47,LANGUAGE CENTER,Sunday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,22,47,LANGUAGE CENTER,Monday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,23,47,LANGUAGE CENTER,Tuesday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,24,47,LANGUAGE CENTER,Wednesday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,25,47,LANGUAGE CENTER,Thursday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,26,47,LANGUAGE CENTER,Friday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,27,47,LANGUAGE CENTER,Saturday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,28,47,LANGUAGE CENTER,Sunday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,29,47,LANGUAGE CENTER,Monday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,30,47,LANGUAGE CENTER,Tuesday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,31,47,LANGUAGE CENTER,Wednesday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,32,47,LANGUAGE CENTER,Thursday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,33,47,LANGUAGE CENTER,Friday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,34,47,LANGUAGE CENTER,Saturday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,35,47,LANGUAGE CENTER,Sunday
1,10610036,ADVANCED ENGLISH LAB,1,1,Bachelor,2,Lab,36,47,LANGUAGE CENTER,Monday
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,Tuesday
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,Wednesday
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,3,47,LANGUAGE CENTER,Thursday
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,8,47,LANGUAGE CENTER,Friday
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,10,47,LANGUAGE CENTER,Saturday
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,11,47,LANGUAGE CENTER,Sunday
1,10610071,ENGLISH FOR NURSING I,1,1,Bachelor,2,Lab,12,47,LANGUAGE CENTER,Monday
1,10610072,ENGLISH FOR NURSING II,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,Tuesday
1,10610073,ENGLISH FOR NURSING III,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,Wednesday
1,10610081,MEDICAL ENGLISH I,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,Thursday
1,10610081,MEDICAL ENGLISH I,1,1,Bachelor,2,Lab,4,47,LANGUAGE CENTER,Friday
1,10610081,MEDICAL ENGLISH I,1,1,Bachelor,2,Lab,6,47,LANGUAGE CENTER,Saturday
1,10610081,MEDICAL ENGLISH I,1,1,Bachelor,2,Lab,9,47,LANGUAGE CENTER,Sunday
1,10610083,MEDICAL ENGLISH III,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,Monday
1,10610084,MEDICAL ENGLISH IV,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,Tuesday
1,10610084,MEDICAL ENGLISH IV,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,Wednesday
1,10610084,MEDICAL ENGLISH IV,1,1,Bachelor,2,Lab,3,47,LANGUAGE CENTER,Thursday
1,10610086,MEDICAL ENGLISH VI,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,Friday
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,1,47,LANGUAGE CENTER,Saturday
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,2,47,LANGUAGE CENTER,Sunday
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,3,47,LANGUAGE CENTER,Monday
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,4,47,LANGUAGE CENTER,Tuesday
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,5,47,LANGUAGE CENTER,Wednesday
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,6,47,LANGUAGE CENTER,Thursday
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,7,47,LANGUAGE CENTER,Friday
1,10610087,MEDICAL ENGLISH VII,1,1,Bachelor,2,Lab,8,47,LANGUAGE CENTER,Saturday
1,10610500,ENGLISH FOR ACADEMIC PURPOSES,3,3,Master,1,Lecture,1,47,LANGUAGE CENTER,Sunday
1,10610500,ENGLISH FOR ACADEMIC PURPOSES,3,9,PHD,1,Lecture,2,47,LANGUAGE CENTER,Monday
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,6,47,LANGUAGE CENTER,Tuesday
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,8,47,LANGUAGE CENTER,Wednesday
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,9,47,LANGUAGE CENTER,Thursday
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,10,47,LANGUAGE CENTER,Friday
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,11,47,LANGUAGE CENTER,Saturday
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,12,47,LANGUAGE CENTER,Sunday
1,10611750,ENGLISH FOR DENTAL TECHNOLOGY STUDENT,2,13,Diploma,1,Lecture,13,47,LANGUAGE CENTER,Monday
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,1,47,LANGUAGE CENTER,Tuesday
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,2,47,LANGUAGE CENTER,Wednesday
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,3,47,LANGUAGE CENTER,Thursday
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,4,47,LANGUAGE CENTER,Friday
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,5,47,LANGUAGE CENTER,Saturday
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,6,47,LANGUAGE CENTER,Sunday
1,10611800,ENGLISH FOR DENTAL TECHNOLOGY STUDENT LAB,1,13,Diploma,2,Lab,7,47,LANGUAGE CENTER,Monday
1,20111011,ACCOUNTING PRINCIPLES I,3,1,Bachelor,1,Lecture,4,19,Accounting Department,Tuesday
1,20111011,ACCOUNTING PRINCIPLES I,3,1,Bachelor,1,Lecture,5,19,Accounting Department,Wednesday
1,20111011,ACCOUNTING PRINCIPLES I,3,1,Bachelor,1,Lecture,6,19,Accounting Department,Thursday
1,20111021,ACCOUNTING PRINCIPLES II,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Friday
1,20112010,INTERMEDIATE ACCOUNTING I,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Saturday
1,20112010,INTERMEDIATE ACCOUNTING I,3,1,Bachelor,1,Lecture,2,19,Accounting Department,Sunday
1,20112020,INTERMEDIATE ACCOUNTING II,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Monday
1,20112150,ECONOMETRICS BY SPSS AND E-VIEWS FOR ACCOUNTING,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Tuesday
1,20113101,COST ACCOUNTING,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Wednesday
1,20113101,COST ACCOUNTING,3,1,Bachelor,1,Lecture,2,19,Accounting Department,Thursday
1,20113220,AUDITING AND ASSURANCE SERVICES I,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Friday
1,20113220,AUDITING AND ASSURANCE SERVICES I,3,1,Bachelor,1,Lecture,2,19,Accounting Department,Saturday
1,20113500,ACCOUNTING INFORMATION SYSTEMS,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Sunday
1,20113500,ACCOUNTING INFORMATION SYSTEMS,3,1,Bachelor,1,Lecture,2,19,Accounting Department,Monday
1,20113600,COMPUTER APPLICATIONS FOR ACCOUNTING,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Tuesday
1,20113610,COMPUTER APPLICATIONS FOR ACCOUNTING I,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Wednesday
1,20113650,ACCOUNTING FOR GOVERNMENTAL and NON PROFIT,3,1,Bachelor,1,Lecture,2,19,Accounting Department,Thursday
1,20113800,TRAINING COURSE I IN ACCOUNTING,0,1,Bachelor,1,Lecture,1,19,Accounting Department,Friday
1,20113801,TRAINING COURSE II IN ACCOUNTING,0,1,Bachelor,1,Lecture,1,19,Accounting Department,Saturday
1,20113802,TRAINING COURSE III IN ACCOUNTING,0,1,Bachelor,1,Lecture,1,19,Accounting Department,Sunday
1,20114110,FINANCIAL STATEMENT ANALYSIS,3,1,Bachelor,1,Lecture,2,19,Accounting Department,Monday
1,20114200,ACCOUNTING THEORY,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Tuesday
1,20114550,ADVANCED ACCOUNTING,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Wednesday
1,20114901,GRADUATION PROJECT,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Thursday
1,20114991,INTERNSHIP IN ACCOUNTING,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Friday
1,20114992,INTERNSHIP IN ACCOUNTING I,3,1,Bachelor,1,Lecture,1,19,Accounting Department,Saturday
1,20211010,INTRODUCTION TO BUSINESS ADMINISTRATION,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Sunday
1,20211010,INTRODUCTION TO BUSINESS ADMINISTRATION,3,1,Bachelor,1,Lecture,2,20,Business Administration Department,Monday
1,20211010,INTRODUCTION TO BUSINESS ADMINISTRATION,3,1,Bachelor,1,Lecture,3,20,Business Administration Department,Tuesday
1,20211010,INTRODUCTION TO BUSINESS ADMINISTRATION,3,1,Bachelor,1,Lecture,4,20,Business Administration Department,Wednesday
1,20211020,PRINCIPLES OF MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Thursday
1,20211050,ENGLISH FOR BUSINESS,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Friday
1,20211050,ENGLISH FOR BUSINESS,3,1,Bachelor,1,Lecture,3,20,Business Administration Department,Saturday
1,20212100,COMMERCIAL LAW,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Sunday
1,20212100,COMMERCIAL LAW,3,1,Bachelor,1,Lecture,2,20,Business Administration Department,Monday
1,20212110,BUSINESS COMMUNICATIONS,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Tuesday
1,20212200,PRODUCTION and OPERATION MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Wednesday
1,20213200,SMALL BUSINESS MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Thursday
1,20213210,LEADERSHIP,3,1,Bachelor,1,Lecture,2,20,Business Administration Department,Friday
1,20213250,INTRODUCTION TO ENTREPRENEURSHIP,3,1,Bachelor,1,Lecture,2,20,Business Administration Department,Saturday
1,20213600,SUPPLY CHAIN MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Sunday
1,20213701,ORGANIZATIONAL BEHAVIOR,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Monday
1,20213710,KNOWLEDGE MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Tuesday
1,20213800,TRAINING COURSE I IN BUSINES ADMINISTRATION,0,1,Bachelor,1,Lecture,1,20,Business Administration Department,Wednesday
1,20213801,TRAINING COURSE II IN BUSINES ADMINISTRATION,0,1,Bachelor,1,Lecture,1,20,Business Administration Department,Thursday
1,20213802,TRAINING COURSE III IN BUSINES ADMINISTRATION,0,1,Bachelor,1,Lecture,1,20,Business Administration Department,Friday
1,20213803,TRAINING COURSE IV IN BUSINES ADMINISTRATION,0,1,Bachelor,1,Lecture,1,20,Business Administration Department,Saturday
1,20214010,SPECIAL TOPICS IN MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Sunday
1,20214110,DECISION ANALYSIS,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Monday
1,20214120,ORGANIZATIONAL THEORY AND DESIGN,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Tuesday
1,20214150,STRATEGIC MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Wednesday
1,20214980,INTERNSHIP IN BUSINESS ADMINISTRATION I,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Thursday
1,20214991,INTERNSHIP IN BUSINESS ADMINISTRATION,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Friday
1,20231010,INTRODUCTION TO HUMAN RESOURCE MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Saturday
1,20232100,CAREER MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Sunday
1,20233200,STRATEGIC HUMAN RESOURCE MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Monday
1,20233300,PERFORMANCE MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Tuesday
1,20233500,TRAINING AND DEVELOPMENT,3,1,Bachelor,1,Lecture,2,20,Business Administration Department,Wednesday
1,20233800,TRAINING COURSE I IN HUMAN RESOURCES MANAGMENT,0,1,Bachelor,1,Lecture,1,20,Business Administration Department,Thursday
1,20233801,TRAINING COURSE II IN HUMAN RESOURCES MANAGMENT,0,1,Bachelor,1,Lecture,1,20,Business Administration Department,Friday
1,20233802,TRAINING COURSE III IN HUMAN RESOURCES MANAGMENT,0,1,Bachelor,1,Lecture,1,20,Business Administration Department,Saturday
1,20233803,TRAINING COURSE IV IN HUMAN RESOURCES MANAGMENT,0,1,Bachelor,1,Lecture,1,20,Business Administration Department,Sunday
1,20234350,INTERNATIONAL HUMAN RESOURCE MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Monday
1,20234980,INTERNSHIP IN HUMAN RESOURCES MANAGEMENT I,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Tuesday
1,20234990,INTERNSHIP IN HUMAN RESOURCES MANAGEMENT,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Wednesday
1,20234991,INTERNSHIP IN HUMAN RESOURCES MANAGEMENT II,3,1,Bachelor,1,Lecture,1,20,Business Administration Department,Thursday
